id,title,company,location,url,date_posted,date_scraped,description_snippet,source,job_type,duration,department,relevance_score,status
61257b4271b557e8,Junior Commodities Operations Analyst - 6 Month FTC,Marlin Selection Recruitment,"London Area, United Kingdom",https://www.linkedin.com/jobs/view/4409424305,nan,2026-05-02T08:37:18.123222+00:00,nan,linkedin,internship,,,0.65,new
652f542d7fa1ae8b,Stage Sales Development Representative (SDR),Kikleo,"Paris, Île-de-France, France",https://www.linkedin.com/jobs/view/4408754032,2026-04-30,2026-05-02T08:37:18.123253+00:00,nan,linkedin,internship,,,0.65,new
b4625de0095f2497,Inside Sales Representative,6sense,"London, England, UK",https://www.linkedin.com/jobs/view/4387299432,2026-04-30,2026-05-02T08:37:18.123274+00:00,nan,linkedin,internship,,,0.65,new
5aaeb90930247d70,Sales Associate,Juno,,https://www.linkedin.com/jobs/view/4406471666,2026-04-30,2026-05-02T08:37:18.123379+00:00,nan,linkedin,internship,,,0.55,new
ad15b932f11b4d5c,Remote B2B Sales Partner – Exhibition Stand Projects,Hitit Fair Stand,,https://www.linkedin.com/jobs/view/4406798791,nan,2026-05-02T08:37:18.123426+00:00,nan,linkedin,internship,,,0.55,new
f6af7236ff320b6f,Sales Operations & Channel Intern,RealWear,"Bern, Berne, Switzerland",https://www.linkedin.com/jobs/view/4409500486,nan,2026-05-02T08:37:18.123446+00:00,nan,linkedin,internship,,,0.55,new
f01b9f758625747a,Vergütetes Praktikum Vertrieb / Internship Sales (m/w/d),Talention GmbH,"Wuppertal, NW, DE",https://de.indeed.com/viewjob?jk=40acbcc349971b92,2026-05-01,2026-05-02T08:37:18.123461+00:00,"**Praktikum Vertrieb / Internship Sales (m/w/d)**
=================================================


**Über uns**
------------


Talention ist ein schnell wachsendes Unternehmen und der Innovationsführer im wachsenden Markt für Personalmarketing\-Software (SaaS). Mit unserer Software Talention brin",indeed,internship,,,0.55,new
16d702b00e39fc9a,Junior Dealer,IG Group,"London, ENG, GB",https://uk.indeed.com/viewjob?jk=98ebcfdc4df0a82a,2026-05-01,2026-05-02T08:37:18.123517+00:00,"**Job Title**

Junior Dealer
**Job Description**

**IG GROUP**

Job Description


**Job Title**

Junior Dealer – Futures and FX Trading


**Department**

Trading – Flow Dealing Desk


**Location**

London (Cannon Street)


**Reports To**

Head of Futures and FX Trading


**Contract Type**

Permanent",indeed,internship,,,0.4,new
ecfad253a960fd2c,Sr Trading Automation Specialist,Optiver,,https://optiver.com/working-at-optiver/career-opportunities/8519956002/,,2026-05-02T08:37:18.123581+00:00,,custom_html,,,,0.35,new
b8533641e924c9f1,2026 London Autumn Internship Programme,Sotheby's,"London, ENG, GB",https://uk.indeed.com/viewjob?jk=4f46fc546cf90177,2026-05-01,2026-05-02T08:37:18.123630+00:00,"**ABOUT SOTHEBY'S**



Established in 1744, Sotheby's promotes access and ownership of exceptional art and luxury objects through auctions, private sales and retail. Our deep expertise across 70 selling categories is supported by a leading technology platform and a global network of specialists span",indeed,internship,,,0.35,new
